Artifact,ReleaseCount
"""com.google.apis:google-api-services-adsense""",4639
"""org.wso2.identity.apps:console""",3614
"""org.wso2.identity.apps:myaccount""",3568
"""com.google.apis:google-api-services-youtubeAnalytics""",3281
"""com.google.apis:google-api-services-genomics""",3158
"""org.wso2.carbon.apimgt:apimgt""",2969
"""org.wso2.carbon.apimgt:carbon-apimgt""",2969
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.core""",2967
"""org.wso2.carbon.apimgt:apimgt-feature""",2967
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.core.feature""",2967
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.publisher.feature""",2956
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.store.feature""",2956
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.admin.feature""",2952
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.throttling.siddhi.extension""",2927
"""net.openhft:chronicle-bom""",2856
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt.client""",2722
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt.stub""",2722
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.api""",2722
"""org.wso2.carbon.apimgt:apimgt-stubs""",2722
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway.feature""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.feature""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymanager.feature""",2712
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.dcr""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.dcr.feature""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.util""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.samples.calculator""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.jms.listener""",2706
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.jms.listener.feature""",2706
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.broker.lifecycle""",2706
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.samples.pizzashack""",2704
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.throttling.siddhi.extension.feature""",2703
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.scxml.feature""",2703
"""io.prophecy:prophecy-libs_2.12""",2659
"""com.google.apis:google-api-services-androidpublisher""",2578
"""com.liferay:com.liferay.gradle.plugins""",2416
"""com.google.apis:google-api-services-toolresults""",2393
"""org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt.stub""",2382
"""org.wso2.carbon.identity.framework:carbon-service-stubs""",2382
"""org.wso2.carbon.identity.framework:identity-framework""",2382
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.common""",2381
"""org.wso2.carbon.identity.framework:identity-provider-management""",2381
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.server.manager.stub""",2381
"""org.wso2.carbon.identity.framework:authentication-framework""",2381
"""org.wso2.carbon.identity.framework:identity-core""",2381
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.authentication.endpoint.util""",2381
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.claim.metadata.mgt.stub""",2381
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement.stub""",2381
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt.stub""",2381
"""org.wso2.carbon.identity.framework:application-mgt""",2381
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.server.manager""",2380
"""org.wso2.carbon.identity.framework:notification-mgt""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile.stub""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.authentication.framework""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.stub""",2380
"""org.wso2.carbon.identity.framework:entitlement""",2380
"""org.wso2.carbon.identity.framework:carbon-authenticators""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.registration.stub""",2380
"""org.wso2.carbon.identity.framework:claim-mgt""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.server.manager.common""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.security.mgt.stub""",2380
"""org.wso2.carbon.identity.framework:directory-server-manager""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.base""",2380
"""org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt""",2379
"""org.wso2.carbon.identity.framework:carbon-authenticator-features""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.authentication.framework.server.feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt.server.feature""",2379
"""org.wso2.carbon.identity.framework:identity-event""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core.ui""",2379
"""org.wso2.carbon.identity.framework:directory-server-manager-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement.ui""",2379
"""org.wso2.carbon.identity.framework:identity-event-feature""",2379
"""org.wso2.carbon.identity.framework:application-mgt-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.stub""",2379
"""org.wso2.carbon.identity.framework:identity-mgt-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.authenticator.thrift""",2379
"""org.wso2.carbon.identity.framework:feature-categories""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.service.mgr.ui.feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.claim.metadata.mgt""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt.ui""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.service.mgr.server.feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.common""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.server.manager.ui""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.count.stub""",2379
"""org.wso2.carbon.identity.framework:identity-core-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt.feature""",2379
"""org.wso2.carbon.identity.framework:identity-provider-management-feature""",2379
"""org.wso2.carbon.identity.framework:authentication-framework-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt.ui.feature""",2379
"""org.wso2.carbon.identity.framework:identity-notification-mgt-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt""",2379
"""org.wso2.carbon.identity.framework:user-mgt""",2379
"""org.wso2.carbon.identity.framework:claim-mgt-feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement.common""",2379
"""org.wso2.carbon.identity.framework:identity-mgt""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.configuration.stub""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt.stub""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.directory.service.mgr.feature""",2379
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt.ui.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.configuration""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.notification.mgt""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.event""",2378
"""org.wso2.carbon.identity.framework:thrift-authenticator""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt.server.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.authorization.category.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.event.server.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.claim.metadata.mgt.ui""",2378
"""org.wso2.carbon.identity.framework:security-mgt""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt.ui""",2378
"""org.wso2.carbon.identity.framework:user-store""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core.server.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.event.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core.ui.feature""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.security.mgt""",2378
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.xacml.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement.endpoint""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.provisioning""",2377
"""org.wso2.carbon.identity.framework:thrift-authenticator-feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.security.mgt.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.outbound.authentication.category.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.notification.mgt.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt.ui""",2377
"""org.wso2.carbon.identity.framework:xacml-feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.mgt.category.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.security.mgt.server.feature""",2377
"""org.wso2.carbon.identity.framework:provisioning-feature""",2377
"""org.wso2.carbon.identity.framework:security-mgt-feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.thrift.authentication.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.registration.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.ui""",2377
"""org.wso2.carbon.identity.framework:provisioning""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.inbound.provisioning.category.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.registration""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.xacml.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.policyeditor.ui""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.keystore.mgt.category.feature""",2377
"""org.wso2.carbon.identity.framework:policy-editor""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.inbound.authentication.category.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.xacml.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.security.mgt.ui""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile.ui""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.registration.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.security.mgt.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.server.feature""",2377
"""org.wso2.carbon.identity.framework:user-mgt-feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.notification.mgt.category.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.ui""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.count""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.configuration.ui""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.provisioning.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.configuration.deployer""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.registration.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.outbound.provisioning.category.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile.ui.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.policyeditor""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.notification.mgt.server.feature""",2377
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.governance.stub""",2345
"""com.google.apis:google-api-services-drive""",2340
"""com.liferay:com.liferay.gradle.plugins.defaults""",2262
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.handlers.security.stub""",2254
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway.stub""",2249
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.tier.cache.stub""",2245
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.statsupdate.stub""",2245
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.registry.cache.stub""",2245
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.stub""",2238
"""org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.workflow.stub""",2238
"""org.wso2.carbon.identity.framework:identity-workflow-mgt""",2238
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.server.feature""",2236
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.ui""",2236
"""org.wso2.carbon.identity.framework:workflow-mgt-feature""",2236
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.ui.feature""",2236
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.feature""",2236
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt""",2236
"""org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.category.feature""",2236
"""org.wso2.identity.apps:org.wso2.identity.apps.common.server.feature""",2206
"""org.wso2.identity.apps:org.wso2.identity.apps.common""",2206
"""org.wso2.identity.apps:authentication-portal""",2191
"""org.wso2.identity.apps:org.wso2.identity.apps.recovery.portal.server.feature""",2190
"""org.wso2.identity.apps:recovery-portal""",2190
"""org.wso2.identity.apps:org.wso2.identity.apps.authentication.portal.server.feature""",2190