YEAR,MONTH,ReleaseCount
2002,5,2
2002,7,1
2003,3,1
2003,6,1
2003,10,1
2004,3,1
2004,7,1
2004,9,3
2004,10,2
2005,1,3
2005,4,226
2005,5,61
2005,6,74
2005,7,74
2005,8,3119
2005,9,331
2005,10,405
2005,11,3153
2005,12,1362
2006,1,509
2006,2,359
2006,3,560
2006,4,509
2006,5,1085
2006,6,487
2006,7,440
2006,8,325
2006,9,722
2006,10,619
2006,11,1473
2006,12,1001
2007,1,663
2007,2,652
2007,3,800
2007,4,911
2007,5,886
2007,6,712
2007,7,1469
2007,8,1164
2007,9,1001
2007,10,1304
2007,11,2010
2007,12,1186
2008,1,1530
2008,2,1180
2008,3,1295
2008,4,2716
2008,5,2026
2008,6,1483
2008,7,2646
2008,8,2015
2008,9,2444
2008,10,4290
2008,11,1781
2008,12,2410
2009,1,2532
2009,2,3447
2009,3,5252
2009,4,3697
2009,5,3507
2009,6,3899
2009,7,3690
2009,8,4139
2009,9,4889
2009,10,5338
2009,11,5774
2009,12,4166
2010,1,4190
2010,2,4093
2010,3,6846
2010,4,4784
2010,5,15847
2010,6,7513
2010,7,7434
2010,8,6274
2010,9,6737
2010,10,8084
2010,11,9168
2010,12,8024
2011,1,7369
2011,2,8057
2011,3,8235
2011,4,10036
2011,5,8958
2011,6,8912
2011,7,8237
2011,8,8071
2011,9,9248
2011,10,8953
2011,11,9272
2011,12,9176
2012,1,11220
2012,2,9229
2012,3,10407
2012,4,11049
2012,5,10213
2012,6,8638
2012,7,10059
2012,8,10363
2012,9,10205
2012,10,12874
2012,11,11201
2012,12,11882
2013,1,13875
2013,2,13371
2013,3,16060
2013,4,14886
2013,5,14115
2013,6,13657
2013,7,15755
2013,8,13965
2013,9,17039
2013,10,15426
2013,11,13856
2013,12,12769
2014,1,14294
2014,2,14972
2014,3,18448
2014,4,20630
2014,5,19725
2014,6,18915
2014,7,21176
2014,8,19132
2014,9,25029
2014,10,23618
2014,11,23029
2014,12,22276
2015,1,24517
2015,2,24668
2015,3,31028
2015,4,25626
2015,5,26283
2015,6,31070
2015,7,31496
2015,8,31461
2015,9,36227
2015,10,36390
2015,11,32841
2015,12,34259
2016,1,40462
2016,2,44646
2016,3,44969
2016,4,40594
2016,5,44039
2016,6,44923
2016,7,47810
2016,8,48070
2016,9,49588
2016,10,55721
2016,11,57347
2016,12,60023
2017,1,58726
2017,2,52529
2017,3,60612
2017,4,57814
2017,5,66327
2017,6,66043
2017,7,66043
2017,8,66252
2017,9,70402
2017,10,73875
2017,11,83098
2017,12,66342
2018,1,74596
2018,2,86209
2018,3,101378
2018,4,70951
2018,5,77181
2018,6,81214
2018,7,77288
2018,8,78575
2018,9,78942
2018,10,79164
2018,11,75640
2018,12,61566
2019,1,75418
2019,2,71404
2019,3,99071
2019,4,101183
2019,5,101799
2019,6,82811
2019,7,74486
2019,8,78441
2019,9,90360
2019,10,113888
2019,11,82046
2019,12,91473
2020,1,91316
2020,2,109080
2020,3,123804
2020,4,122707
2020,5,118633
2020,6,115929
2020,7,129017
2020,8,112643
2020,9,115205
2020,10,130703
2020,11,137698
2020,12,125109
2021,1,131586
2021,2,157982
2021,3,174426
2021,4,179354
2021,5,173443
2021,6,166310
2021,7,165031
2021,8,171594
2021,9,168567
2021,10,172570
2021,11,184010
2021,12,201790
2022,1,200783
2022,2,177983
2022,3,211965
2022,4,187115
2022,5,178421
2022,6,186334
2022,7,184655
2022,8,181503
2022,9,192846
2022,10,177566
2022,11,204684
2022,12,178772
2023,1,194859
2023,2,195657
2023,3,230071
2023,4,197903
2023,5,203053
2023,6,201645
2023,7,200994
2023,8,202825
2023,9,192338
2023,10,181078
2023,11,217518
2023,12,189133
2024,1,204294
2024,2,210490
2024,3,237371
2024,4,221439
2024,5,236466
2024,6,222219
2024,7,209291
2024,8,189466